64;1460;2000;1;0;0
64;1460;2000;1;0;0
128;1460;65535;1;0;0
128;1460;2000;1;0;0
128;1468;2000;1;0;0
128;1428;2000;1;0;0
128;1460;2000;1;0;0
128;65495;65160;1;1;0
128;1340;17420;0;2;1
128;1340;17420;0;2;1
128;1460;64512;0;3;1
128;1118;4182;0;2;1
128;1460;2000;1;0;2
128;1368;2000;1;0;2
128;1260;65535;1;0;3
64;1452;1680;1;4;4
64;1460;3890;1;4;5
64;1416;5792;0;4;4
64;1460;2896;0;4;6
64;1460;5792;1;4;4
64;16396;32767;1;5;7
64;1366;5792;1;4;4
64;1368;5792;1;4;4
64;16396;32767;1;6;8
64;1460;5792;1;4;4
128;1460;65535;1;6;9
128;1460;65535;1;7;9
128;1460;65535;1;8;9
128;1460;65535;1;9;9
128;1460;65535;1;10;9
128;1460;65535;1;11;9
128;1460;65535;1;3;9
128;1460;65535;1;2;9
128;1460;8192;1;6;2
128;1460;8192;1;1;2
128;1460;8192;1;7;2
128;1460;8192;1;9;2
128;1460;8192;1;0;2
128;1460;8192;1;11;2
128;1460;8192;1;10;2
64;1460;65535;1;7;10
64;1460;65535;1;12;10
64;1460;65535;1;9;10
64;1460;65535;1;13;10
64;1460;65535;1;11;10
64;1460;65535;1;14;10
64;1460;65535;1;15;10
64;1460;65535;1;16;11
64;1460;65535;0;16;11
64;1460;65535;0;16;11
64;1460;65535;0;16;11
64;1410;65535;0;16;11
